Group1	Group2	Group1 mean	Group1 std	Group2 mean	Group2 std	t stat	p-value
LB/30	C/112	250.3	25.325086377	127.533333333	30.1447987037	4.40981085439	1.0
LB/112	C/112	134.5	0.0	127.533333333	30.1447987037	0.163417155002	1.0
LH + LB/112	LH/112	159.466666667	29.41851269	156.15	16.35	0.112463636056	1.0
LH + LB/112	LB/112	159.466666667	29.41851269	134.5	0.0	-0.600101694116	1.0
C/0	C/112	213.766666667	56.3450283718	127.533333333	30.1447987037	1.90842645448	1.0
LH + LB/30	LB/30	211.333333333	44.2037957143	250.3	25.325086377	-1.08171162246	1.0
LH + LB/30	C/30	211.333333333	44.2037957143	201.75	1.35	0.237417469605	1.0
LH + LB/30	LH/112	211.333333333	44.2037957143	156.15	16.35	1.30913835128	1.0
LH + LB/112	C/30	159.466666667	29.41851269	201.75	1.35	-1.57338312971	1.0
C/0	LH + LB/112	213.766666667	56.3450283718	159.466666667	29.41851269	1.20812757794	1.0
LH + LB/112	C/112	159.466666667	29.41851269	127.533333333	30.1447987037	1.07216871926	1.0
LH + LB/30	LB/112	211.333333333	44.2037957143	134.5	0.0	-1.22906574296	1.0
C/30	LB/30	201.75	1.35	250.3	25.325086377	-2.09806019757	1.0
C/30	LB/112	201.75	1.35	134.5	0.0	-28.760596743	1.0
LH/112	C/112	156.15	16.35	127.533333333	30.1447987037	0.950845818201	1.0
C/0	LH/112	213.766666667	56.3450283718	156.15	16.35	1.08999235178	1.0
C/30	LH/112	201.75	1.35	156.15	16.35	2.77953204002	1.0
LH + LB/30	C/112	211.333333333	44.2037957143	127.533333333	30.1447987037	2.21499258864	1.0
LB/30	LB/112	250.3	25.325086377	134.5	0.0	-3.23327486598	1.0
C/0	LB/30	213.766666667	56.3450283718	250.3	25.325086377	-0.83635981787	1.0
C/0	C/30	213.766666667	56.3450283718	201.75	1.35	0.23358015798	1.0
LH/112	LB/112	156.15	16.35	134.5	0.0	-0.764503567459	1.0
LH + LB/112	LB/30	159.466666667	29.41851269	250.3	25.325086377	-3.30926208081	1.0
LH + LB/30	LH + LB/112	211.333333333	44.2037957143	159.466666667	29.41851269	1.38141162175	1.0
C/0	LB/112	213.766666667	56.3450283718	134.5	0.0	-0.994763853027	1.0
C/30	C/112	201.75	1.35	127.533333333	30.1447987037	2.69519091631	1.0
C/0	LH + LB/30	213.766666667	56.3450283718	211.333333333	44.2037957143	0.048051987533	1.0
LH/112	LB/30	156.15	16.35	250.3	25.325086377	-3.60260457489	1.0
