# The tests of significance were performed using a two-sided Student's two-sample t-test.
# Alternative hypothesis: Group 1 mean != Group 2 mean
# The nonparametric p-values were calculated using 999 Monte Carlo permutations.
# The nonparametric p-values contain the correct number of significant digits.
# Entries marked with "N/A" could not be calculated because at least one of the groups
# of distances was empty, both groups each contained only a single distance, or
# the test could not be performed (e.g. no variance in groups with the same mean).
Group 1	Group 2	t statistic	Parametric p-value	Parametric p-value (Bonferroni-corrected)	Nonparametric p-value	Nonparametric p-value (Bonferroni-corrected)
All within Treatment	All between Treatment	-4.10188000091	6.0975127689e-05	0.0405484599132	0.001	0.665
All within Treatment	LH + LB/30 vs. LH + LB/30	-0.29722692073	0.769696142529	1	0.767	1.000
All within Treatment	C/0 vs. C/0	0.478617094441	0.637973184601	1	0.639	1.000
All within Treatment	LH + LB/112 vs. LH + LB/112	-0.602247323476	0.55452106321	1	0.573	1.000
All within Treatment	LH/112 vs. LH/112	0.305886871581	[ 0.76363484]	1	0.750	1.000
All within Treatment	C/30 vs. C/30	-1.02294519625	[ 0.32155238]	1	0.445	1.000
All within Treatment	LB/30 vs. LB/30	1.73033313212	0.100678548484	1	0.099	1.000
All within Treatment	C/112 vs. C/112	-1.66347393384	0.113530335303	1	0.128	1.000
All within Treatment	LH + LB/30 vs. C/0	-5.38231099274	1.58364060292e-05	0.0105312100094	0.001	0.665
All within Treatment	LH + LB/30 vs. LH + LB/112	-2.213084192	0.0366501009662	1	0.034	1.000
All within Treatment	LH + LB/30 vs. LH/112	-2.41182587851	0.025107891619	1	0.033	1.000
All within Treatment	LH + LB/30 vs. C/30	-0.235396334278	0.816181488456	1	0.812	1.000
All within Treatment	LH + LB/30 vs. LB/30	0.845769421703	0.40603515901	1	0.406	1.000
All within Treatment	LH + LB/30 vs. LB/112	-1.37910957201	0.184757523147	1	0.192	1.000
All within Treatment	LH + LB/30 vs. C/112	-3.75646671799	0.000972651720645	0.646813394229	0.003	1.000
All within Treatment	C/0 vs. LH + LB/112	-5.73127255235	6.62087679569e-06	0.00440288306914	0.001	0.665
All within Treatment	C/0 vs. LH/112	-4.81217537127	9.35022592762e-05	0.0621790024187	0.001	0.665
All within Treatment	C/0 vs. C/30	-4.18659782078	0.000415887518852	0.276565200037	0.002	1.000
All within Treatment	C/0 vs. LB/30	-4.78811833648	7.1173448538e-05	0.0473303432778	0.001	0.665
All within Treatment	C/0 vs. LB/112	-3.71012522212	0.00160211880252	1	0.002	1.000
All within Treatment	C/0 vs. C/112	-6.3498967571	1.45058052077e-06	0.000964636046315	0.001	0.665
All within Treatment	LH + LB/112 vs. LH/112	-0.538277985945	0.596045011375	1	0.643	1.000
All within Treatment	LH + LB/112 vs. C/30	-1.59303287177	0.126094205146	1	0.117	1.000
All within Treatment	LH + LB/112 vs. LB/30	-1.73380212495	0.0957831212005	1	0.096	1.000
All within Treatment	LH + LB/112 vs. LB/112	-0.776053618341	0.447794991618	1	0.425	1.000
All within Treatment	LH + LB/112 vs. C/112	-1.51326789541	0.143270134139	1	0.153	1.000
All within Treatment	LH/112 vs. C/30	-1.24873501557	0.22692967846	1	0.236	1.000
All within Treatment	LH/112 vs. LB/30	-1.86616000049	0.0760480915025	1	0.085	1.000
All within Treatment	LH/112 vs. LB/112	-0.701318618976	0.492593779091	1	0.499	1.000
All within Treatment	LH/112 vs. C/112	-1.20591806116	0.241260821951	1	0.221	1.000
All within Treatment	C/30 vs. LB/30	1.4785217517	0.154111885369	1	0.164	1.000
All within Treatment	C/30 vs. LB/112	-1.09013842716	0.290863831607	1	0.287	1.000
All within Treatment	C/30 vs. C/112	-2.57634238825	0.0176034838018	1	0.022	1.000
All within Treatment	LB/30 vs. LB/112	-1.63627964667	0.119145724735	1	0.127	1.000
All within Treatment	LB/30 vs. C/112	-3.21538535602	0.00370017665296	1	0.005	1.000
All within Treatment	LB/112 vs. C/112	-1.51236063835	0.14780108656	1	0.180	1.000
All between Treatment	LH + LB/30 vs. LH + LB/30	1.45099127367	0.148582721259	1	0.162	1.000
All between Treatment	C/0 vs. C/0	2.30356677533	0.0224295430826	1	0.022	1.000
All between Treatment	LH + LB/112 vs. LH + LB/112	1.18653548167	0.237028446937	1	0.238	1.000
All between Treatment	LH/112 vs. LH/112	-0.727061727534	[ 0.46817656]	1	0.386	1.000
All between Treatment	C/30 vs. C/30	-2.08248035456	[ 0.03877843]	1	0.030	1.000
All between Treatment	LB/30 vs. LB/30	3.56333785631	0.000472671497853	0.314326546072	0.001	0.665
All between Treatment	C/112 vs. C/112	0.0394826732714	0.96855083228	1	0.972	1.000
All between Treatment	LH + LB/30 vs. C/0	-2.94121709369	0.00369900356665	1	0.003	1.000
