Sample	adapter_content	Sequences flagged as poor quality	sequence_duplication_levels	avg_sequence_length	Encoding	kmer_content	per_base_sequence_quality	sequence_length_distribution	Sequence length	File type	basic_statistics	per_sequence_gc_content	Total Sequences	per_base_n_content	per_base_sequence_content	overrepresented_sequences	%GC	total_deduplicated_percentage	Filename	per_tile_sequence_quality	per_sequence_quality_scores
146.extendedFrags	pass	0.0	fail	280.094507339	Sanger / Illumina 1.9	fail	pass	warn	179-405	Conventional base calls	pass	fail	70312.0	pass	fail	fail	52.0	0.920184321311	146.extendedFrags.fastq	fail	pass
147.extendedFrags	pass	0.0	fail	269.606546564	Sanger / Illumina 1.9	fail	pass	warn	179-440	Conventional base calls	pass	fail	48514.0	pass	fail	fail	48.0	1.3192068269	147.extendedFrags.fastq	fail	pass
148.extendedFrags	pass	0.0	fail	266.082857966	Sanger / Illumina 1.9	warn	pass	warn	179-405	Conventional base calls	pass	fail	69420.0	pass	fail	fail	46.0	1.18697781619	148.extendedFrags.fastq	fail	pass
171.extendedFrags	pass	0.0	fail	262.623110086	Sanger / Illumina 1.9	warn	pass	warn	177-410	Conventional base calls	pass	fail	16469.0	pass	fail	fail	42.0	2.12520493048	171.extendedFrags.fastq	fail	pass
172.extendedFrags	pass	0.0	fail	260.93759478	Sanger / Illumina 1.9	warn	pass	warn	175-410	Conventional base calls	pass	fail	43522.0	pass	fail	fail	40.0	1.29359863977	172.extendedFrags.fastq	fail	pass
173.extendedFrags	pass	0.0	fail	269.514856041	Sanger / Illumina 1.9	warn	pass	warn	177-427	Conventional base calls	pass	fail	45638.0	pass	fail	fail	40.0	1.34537008633	173.extendedFrags.fastq	fail	pass
176.extendedFrags	pass	0.0	fail	263.486257374	Sanger / Illumina 1.9	warn	pass	warn	178-410	Conventional base calls	pass	fail	22885.0	pass	fail	fail	41.0	1.7478697837	176.extendedFrags.fastq	fail	pass
177.extendedFrags	pass	0.0	fail	264.250390226	Sanger / Illumina 1.9	warn	pass	warn	178-410	Conventional base calls	pass	fail	18579.0	pass	fail	fail	41.0	1.86231767049	177.extendedFrags.fastq	fail	pass
178.extendedFrags	pass	0.0	fail	264.241083418	Sanger / Illumina 1.9	warn	pass	warn	178-431	Conventional base calls	pass	fail	30533.0	pass	fail	fail	40.0	0.91376543412	178.extendedFrags.fastq	fail	pass
181.extendedFrags	pass	0.0	fail	259.155924403	Sanger / Illumina 1.9	fail	pass	warn	177-410	Conventional base calls	pass	fail	38679.0	pass	fail	fail	41.0	1.3624964451	181.extendedFrags.fastq	fail	pass
182.extendedFrags	pass	0.0	fail	257.284552846	Sanger / Illumina 1.9	fail	pass	warn	176-413	Conventional base calls	pass	fail	50307.0	pass	fail	fail	42.0	1.33977378894	182.extendedFrags.fastq	fail	pass
183.extendedFrags	pass	0.0	fail	266.012942419	Sanger / Illumina 1.9	warn	pass	warn	177-410	Conventional base calls	pass	fail	49218.0	pass	fail	fail	42.0	1.37957657767	183.extendedFrags.fastq	fail	pass
186.extendedFrags	pass	0.0	fail	258.63254648	Sanger / Illumina 1.9	warn	pass	warn	177-419	Conventional base calls	pass	fail	52657.0	pass	fail	fail	43.0	1.33125700287	186.extendedFrags.fastq	fail	pass
187.extendedFrags	pass	0.0	fail	262.257434704	Sanger / Illumina 1.9	warn	pass	warn	177-410	Conventional base calls	pass	fail	23202.0	pass	fail	fail	42.0	1.86190845617	187.extendedFrags.fastq	fail	pass
188.extendedFrags	pass	0.0	fail	259.43842297	Sanger / Illumina 1.9	fail	pass	warn	177-411	Conventional base calls	pass	fail	36499.0	pass	fail	fail	41.0	1.48771199211	188.extendedFrags.fastq	fail	pass
191.extendedFrags	pass	0.0	fail	267.246820637	Sanger / Illumina 1.9	fail	pass	warn	178-441	Conventional base calls	pass	fail	23511.0	pass	fail	fail	43.0	2.04159755008	191.extendedFrags.fastq	fail	pass
192.extendedFrags	pass	0.0	fail	287.135492965	Sanger / Illumina 1.9	warn	pass	warn	175-406	Conventional base calls	pass	fail	39729.0	pass	fail	fail	47.0	1.63105036623	192.extendedFrags.fastq	fail	pass
193.extendedFrags	pass	0.0	fail	264.753049632	Sanger / Illumina 1.9	warn	pass	warn	177-410	Conventional base calls	pass	fail	32217.0	pass	fail	fail	42.0	1.6947574262	193.extendedFrags.fastq	fail	pass
196.extendedFrags	pass	0.0	fail	270.531627456	Sanger / Illumina 1.9	fail	pass	warn	175-406	Conventional base calls	pass	fail	41230.0	pass	fail	fail	43.0	1.6614115935	196.extendedFrags.fastq	fail	pass
197.extendedFrags	pass	0.0	fail	284.58458357	Sanger / Illumina 1.9	warn	pass	warn	178-452	Conventional base calls	pass	fail	24662.0	pass	fail	fail	44.0	2.18149379612	197.extendedFrags.fastq	fail	pass
198.extendedFrags	pass	0.0	fail	270.323002863	Sanger / Illumina 1.9	fail	pass	warn	177-406	Conventional base calls	pass	fail	31783.0	pass	fail	fail	43.0	1.71160683384	198.extendedFrags.fastq	fail	pass
201.extendedFrags	pass	0.0	fail	262.349910992	Sanger / Illumina 1.9	warn	pass	warn	178-406	Conventional base calls	pass	fail	35952.0	pass	fail	fail	43.0	1.66332888296	201.extendedFrags.fastq	fail	pass
202.extendedFrags	pass	0.0	fail	279.865576548	Sanger / Illumina 1.9	warn	pass	warn	138-426	Conventional base calls	pass	fail	27153.0	pass	fail	fail	44.0	1.9445365153	202.extendedFrags.fastq	fail	pass
203.extendedFrags	pass	0.0	fail	265.119758926	Sanger / Illumina 1.9	warn	pass	warn	176-406	Conventional base calls	pass	fail	50109.0	pass	fail	fail	43.0	1.41092418528	203.extendedFrags.fastq	fail	pass
206.extendedFrags	pass	0.0	fail	288.775370355	Sanger / Illumina 1.9	warn	pass	warn	174-410	Conventional base calls	pass	fail	35169.0	pass	fail	fail	44.0	1.83400153544	206.extendedFrags.fastq	fail	pass
207.extendedFrags	pass	0.0	fail	274.068814245	Sanger / Illumina 1.9	warn	pass	warn	176-410	Conventional base calls	pass	fail	23251.0	pass	fail	fail	44.0	2.20635671584	207.extendedFrags.fastq	fail	pass
