Sample	FastQC_percent_duplicates	FastQC_percent_gc	FastQC_avg_sequence_length	FastQC_total_sequences	FastQC_percent_fails
146.extendedFrags	99.0798156787	52.0	280.094507339	70312.0	50.0
147.extendedFrags	98.6807931731	48.0	269.606546564	48514.0	50.0
148.extendedFrags	98.8130221838	46.0	266.082857966	69420.0	41.6666666667
171.extendedFrags	97.8747950695	42.0	262.623110086	16469.0	41.6666666667
172.extendedFrags	98.7064013602	40.0	260.93759478	43522.0	41.6666666667
173.extendedFrags	98.6546299137	40.0	269.514856041	45638.0	41.6666666667
176.extendedFrags	98.2521302163	41.0	263.486257374	22885.0	41.6666666667
177.extendedFrags	98.1376823295	41.0	264.250390226	18579.0	41.6666666667
178.extendedFrags	99.0862345659	40.0	264.241083418	30533.0	41.6666666667
181.extendedFrags	98.6375035549	41.0	259.155924403	38679.0	50.0
182.extendedFrags	98.6602262111	42.0	257.284552846	50307.0	50.0
183.extendedFrags	98.6204234223	42.0	266.012942419	49218.0	41.6666666667
186.extendedFrags	98.6687429971	43.0	258.63254648	52657.0	41.6666666667
187.extendedFrags	98.1380915438	42.0	262.257434704	23202.0	41.6666666667
188.extendedFrags	98.5122880079	41.0	259.43842297	36499.0	50.0
191.extendedFrags	97.9584024499	43.0	267.246820637	23511.0	50.0
192.extendedFrags	98.3689496338	47.0	287.135492965	39729.0	41.6666666667
193.extendedFrags	98.3052425738	42.0	264.753049632	32217.0	41.6666666667
196.extendedFrags	98.3385884065	43.0	270.531627456	41230.0	50.0
197.extendedFrags	97.8185062039	44.0	284.58458357	24662.0	41.6666666667
198.extendedFrags	98.2883931662	43.0	270.323002863	31783.0	50.0
201.extendedFrags	98.336671117	43.0	262.349910992	35952.0	41.6666666667
202.extendedFrags	98.0554634847	44.0	279.865576548	27153.0	41.6666666667
203.extendedFrags	98.5890758147	43.0	265.119758926	50109.0	41.6666666667
206.extendedFrags	98.1659984646	44.0	288.775370355	35169.0	41.6666666667
207.extendedFrags	97.7936432842	44.0	274.068814245	23251.0	41.6666666667
208.extendedFrags	98.1420181527	42.0	274.615839117	28095.0	50.0
