Sample	adapter_content	Sequences flagged as poor quality	sequence_duplication_levels	avg_sequence_length	Encoding	kmer_content	per_base_sequence_quality	sequence_length_distribution	Sequence length	File type	basic_statistics	per_sequence_gc_content	Total Sequences	per_base_n_content	per_base_sequence_content	overrepresented_sequences	%GC	total_deduplicated_percentage	Filename	per_tile_sequence_quality	per_sequence_quality_scores
LALL-PD-KC2015-146-Control-0d-CS-ITS_S96_L001_R1_001	pass	0.0	fail	247.966889014	Sanger / Illumina 1.9	warn	fail	warn	179-251	Conventional base calls	pass	fail	74658.0	pass	fail	fail	52.0	0.980470947521	LALL-PD-KC2015-146-Control-0d-CS-ITS_S96_L001_R1_001.fastq.gz	pass	pass
LALL-PD-KC2015-146-Control-0d-CS-ITS_S96_L001_R2_001	pass	0.0	fail	249.453079375	Sanger / Illumina 1.9	fail	warn	warn	179-251	Conventional base calls	pass	fail	74658.0	pass	fail	fail	53.0	3.87768223097	LALL-PD-KC2015-146-Control-0d-CS-ITS_S96_L001_R2_001.fastq.gz	pass	pass
LALL-PD-KC2015-147-Control-0d-CS-ITS_S97_L001_R1_001	pass	0.0	fail	245.271191588	Sanger / Illumina 1.9	warn	warn	warn	179-251	Conventional base calls	pass	fail	52686.0	pass	fail	fail	47.0	1.32103405079	LALL-PD-KC2015-147-Control-0d-CS-ITS_S97_L001_R1_001.fastq.gz	pass	pass
LALL-PD-KC2015-147-Control-0d-CS-ITS_S97_L001_R2_001	pass	0.0	fail	246.057168887	Sanger / Illumina 1.9	fail	pass	warn	179-251	Conventional base calls	pass	fail	52686.0	pass	fail	fail	48.0	4.16619215731	LALL-PD-KC2015-147-Control-0d-CS-ITS_S97_L001_R2_001.fastq.gz	pass	pass
LALL-PD-KC2015-148-Control-0d-CS-ITS_S98_L001_R1_001	pass	0.0	fail	244.487265611	Sanger / Illumina 1.9	fail	pass	warn	179-251	Conventional base calls	pass	fail	75622.0	pass	fail	fail	46.0	1.19409695591	LALL-PD-KC2015-148-Control-0d-CS-ITS_S98_L001_R1_001.fastq.gz	pass	pass
LALL-PD-KC2015-148-Control-0d-CS-ITS_S98_L001_R2_001	pass	0.0	fail	245.041760334	Sanger / Illumina 1.9	fail	pass	warn	179-251	Conventional base calls	pass	fail	75622.0	pass	fail	fail	46.0	4.40480283515	LALL-PD-KC2015-148-Control-0d-CS-ITS_S98_L001_R2_001.fastq.gz	pass	pass
LALL-PD-KC2015-171-Control-30d-CS-ITS_S99_L001_R1_001	pass	0.0	fail	244.213256913	Sanger / Illumina 1.9	warn	warn	warn	177-251	Conventional base calls	pass	fail	26869.0	pass	fail	fail	44.0	1.77900182366	LALL-PD-KC2015-171-Control-30d-CS-ITS_S99_L001_R1_001.fastq.gz	pass	pass
LALL-PD-KC2015-171-Control-30d-CS-ITS_S99_L001_R2_001	pass	0.0	fail	244.221816964	Sanger / Illumina 1.9	warn	pass	warn	177-251	Conventional base calls	pass	fail	26869.0	pass	fail	fail	40.0	5.37050132123	LALL-PD-KC2015-171-Control-30d-CS-ITS_S99_L001_R2_001.fastq.gz	pass	pass
LALL-PD-KC2015-172-Control-30d-CS-ITS_S100_L001_R1_001	pass	0.0	fail	243.210713661	Sanger / Illumina 1.9	warn	pass	warn	35-251	Conventional base calls	pass	fail	68548.0	pass	fail	fail	42.0	1.14372410574	LALL-PD-KC2015-172-Control-30d-CS-ITS_S100_L001_R1_001.fastq.gz	pass	pass
LALL-PD-KC2015-172-Control-30d-CS-ITS_S100_L001_R2_001	pass	0.0	fail	243.250496003	Sanger / Illumina 1.9	warn	pass	warn	35-251	Conventional base calls	pass	fail	68548.0	pass	fail	fail	39.0	4.04096399603	LALL-PD-KC2015-172-Control-30d-CS-ITS_S100_L001_R2_001.fastq.gz	pass	pass
LALL-PD-KC2015-173-Control-30d-CS-ITS_S101_L001_R1_001	pass	0.0	fail	244.179870949	Sanger / Illumina 1.9	warn	pass	warn	177-251	Conventional base calls	pass	fail	67415.0	pass	fail	fail	42.0	1.17777942594	LALL-PD-KC2015-173-Control-30d-CS-ITS_S101_L001_R1_001.fastq.gz	pass	pass
LALL-PD-KC2015-173-Control-30d-CS-ITS_S101_L001_R2_001	pass	0.0	fail	244.34031002	Sanger / Illumina 1.9	warn	pass	warn	177-251	Conventional base calls	pass	fail	67415.0	pass	fail	fail	39.0	6.06541570867	LALL-PD-KC2015-173-Control-30d-CS-ITS_S101_L001_R2_001.fastq.gz	pass	pass
