Group1	Group2	Group1 mean	Group1 std	Group2 mean	Group2 std	t stat	p-value
LH/30	LH + LB/92	79.3	21.2278119457	136.7	0.0	1.91201661971	1.0
LH/30	C/92	79.3	21.2278119457	113.0	3.1	-1.72683066941	1.0
LB/10	C/0	159.8	0.0	215.866666667	8.73473271231	-4.53879031039	1.0
LH + LB/92	C/92	136.7	0.0	113.0	3.1	4.41393592897	1.0
LH/30	C/0	79.3	21.2278119457	215.866666667	8.73473271231	-8.41374212507	1.0
LH + LB/30	LH + LB/92	92.2	0.0	136.7	0.0	None	None
LB/10	LB/30	159.8	0.0	142.4	13.4983949663	0.911490441889	1.0
LH/10	LB/30	127.633333333	12.9270603344	142.4	13.4983949663	-1.11734812977	1.0
LB/10	LH/92	159.8	0.0	94.4333333333	3.79326889225	12.1850611113	1.0
LH/30	LH + LB/10	79.3	21.2278119457	124.566666667	13.9755341778	-2.51883034996	1.0
LH + LB/30	LB/92	92.2	0.0	118.6	0.0	None	None
LH + LB/30	LH/92	92.2	0.0	94.4333333333	3.79326889225	-0.416317743221	1.0
LH + LB/30	LH/30	92.2	0.0	79.3	21.2278119457	0.429704083523	1.0
LH + LB/30	LB/30	92.2	0.0	142.4	13.4983949663	-2.62970230936	1.0
LH/10	LH + LB/92	127.633333333	12.9270603344	136.7	0.0	0.495944268606	1.0
C/92	LB/92	113.0	3.1	118.6	0.0	1.04295532499	1.0
LB/30	LH/92	142.4	13.4983949663	94.4333333333	3.79326889225	4.83802033346	1.0
LB/30	LH + LB/10	142.4	13.4983949663	124.566666667	13.9755341778	1.29800469922	1.0
LH/30	LB/92	79.3	21.2278119457	118.6	0.0	1.30909848701	1.0
C/0	C/92	215.866666667	8.73473271231	113.0	3.1	12.3910097981	1.0
LH/10	C/0	127.633333333	12.9270603344	215.866666667	8.73473271231	-7.99803743319	1.0
LB/10	LB/92	159.8	0.0	118.6	0.0	None	None
LB/10	C/92	159.8	0.0	113.0	3.1	8.71612664454	1.0
C/92	LB/30	113.0	3.1	142.4	13.4983949663	-2.34504811711	1.0
C/0	LB/30	215.866666667	8.73473271231	142.4	13.4983949663	6.46209283525	1.0
LH + LB/30	LH + LB/10	92.2	0.0	124.566666667	13.9755341778	-1.63762538113	1.0
C/92	LH/92	113.0	3.1	94.4333333333	3.79326889225	4.46004560953	1.0
LH + LB/30	C/92	92.2	0.0	113.0	3.1	-3.87383406424	1.0
C/0	LH + LB/10	215.866666667	8.73473271231	124.566666667	13.9755341778	7.83451306778	1.0
C/0	LH + LB/92	215.866666667	8.73473271231	136.7	0.0	-6.40881509345	1.0
LH/10	LB/10	127.633333333	12.9270603344	159.8	0.0	1.75950815884	1.0
LH + LB/92	LB/92	136.7	0.0	118.6	0.0	None	None
LH/30	LH/92	79.3	21.2278119457	94.4333333333	3.79326889225	-0.99247361219	1.0
LH/10	LH/92	127.633333333	12.9270603344	94.4333333333	3.79326889225	3.48511750572	1.0
LH + LB/10	LH/92	124.566666667	13.9755341778	94.4333333333	3.79326889225	2.94278379682	1.0
C/92	LH + LB/10	113.0	3.1	124.566666667	13.9755341778	-0.892117320276	1.0
LB/92	LH/92	118.6	0.0	94.4333333333	3.79326889225	4.50493080351	1.0
LH + LB/92	LH/92	136.7	0.0	94.4333333333	3.79326889225	7.8789686329	1.0
LH/30	LH/10	79.3	21.2278119457	127.633333333	12.9270603344	-2.75019057421	1.0
LH/30	LB/10	79.3	21.2278119457	159.8	0.0	2.68148672276	1.0
C/0	LH/92	215.866666667	8.73473271231	94.4333333333	3.79326889225	18.0337695654	1.0
LH + LB/10	LB/92	124.566666667	13.9755341778	118.6	0.0	-0.301889745851	1.0
LB/30	LB/92	142.4	13.4983949663	118.6	0.0	-1.24675129408	1.0
LH + LB/92	LH + LB/10	136.7	0.0	124.566666667	13.9755341778	0.613898701061	1.0
LH/30	LB/30	79.3	21.2278119457	142.4	13.4983949663	-3.54733309979	1.0
LH + LB/30	LH/10	92.2	0.0	127.633333333	12.9270603344	-1.9381939615	1.0
LB/10	LH + LB/10	159.8	0.0	124.566666667	13.9755341778	1.78266738193	1.0
LH + LB/30	C/0	92.2	0.0	215.866666667	8.73473271231	-10.0112437881	1.0
LH/10	LH + LB/10	127.633333333	12.9270603344	124.566666667	13.9755341778	0.227810023856	1.0
LH + LB/30	LB/10	92.2	0.0	159.8	0.0	None	None
C/0	LB/92	215.866666667	8.73473271231	118.6	0.0	-7.87407260745	1.0
LB/10	LH + LB/92	159.8	0.0	136.7	0.0	None	None
LH/10	C/92	127.633333333	12.9270603344	113.0	3.1	1.21692743176	1.0
LH/10	LB/92	127.633333333	12.9270603344	118.6	0.0	-0.494120944089	1.0
LH + LB/92	LB/30	136.7	0.0	142.4	13.4983949663	-0.298591696481	1.0
