# The tests of significance were performed using a two-sided Student's two-sample t-test.
# Alternative hypothesis: Group 1 mean != Group 2 mean
# The nonparametric p-values were calculated using 999 Monte Carlo permutations.
# The nonparametric p-values contain the correct number of significant digits.
# Entries marked with "N/A" could not be calculated because at least one of the groups
# of distances was empty, both groups each contained only a single distance, or
# the test could not be performed (e.g. no variance in groups with the same mean).
Group 1	Group 2	t statistic	Parametric p-value	Parametric p-value (Bonferroni-corrected)	Nonparametric p-value	Nonparametric p-value (Bonferroni-corrected)
All within Treatment	All between Treatment	-6.44784198406	5.10296133867e-10	1.01804078706e-06	0.001	1.000
All within Treatment	C/0 vs. C/0	3.37572452997	0.00300486265643	1	0.008	1.000
All within Treatment	LH/30 vs. LH/30	-1.72606747588	0.0997523493043	1	0.069	1.000
All within Treatment	LH/10 vs. LH/10	0.0910712961471	0.928341907691	1	0.940	1.000
All within Treatment	C/92 vs. C/92	0.784808089395	[ 0.44277336]	1	0.368	1.000
All within Treatment	LB/30 vs. LB/30	0.211224802416	0.834849272505	1	0.861	1.000
All within Treatment	LH + LB/10 vs. LH + LB/10	-0.97637013414	0.340543918799	1	0.360	1.000
All within Treatment	LH/92 vs. LH/92	-0.506164658385	0.618275092595	1	0.705	1.000
All within Treatment	C/0 vs. LH/30	-4.4936114091	0.00012793810938	0.255236528213	0.001	1.000
All within Treatment	C/0 vs. LH/10	-1.5998044785	0.121724647639	1	0.127	1.000
All within Treatment	C/0 vs. LB/10	-1.19016051791	0.247919535266	1	0.223	1.000
All within Treatment	C/0 vs. LH + LB/30	-2.54280517878	0.0193737902415	1	0.021	1.000
All within Treatment	C/0 vs. C/92	-3.61692227745	0.00144870380969	1	0.004	1.000
All within Treatment	C/0 vs. LB/92	-2.0291056912	0.0559691357488	1	0.040	1.000
All within Treatment	C/0 vs. LH + LB/92	-2.34917623148	0.0292010915485	1	0.036	1.000
All within Treatment	C/0 vs. LB/30	-1.86659406125	0.0732754287431	1	0.070	1.000
All within Treatment	C/0 vs. LH + LB/10	-2.5089286977	0.0186759788263	1	0.015	1.000
All within Treatment	C/0 vs. LH/92	-4.26500192133	0.000233574631713	0.465981390268	0.002	1.000
All within Treatment	LH/30 vs. LH/10	-2.0922973387	0.0463208240104	1	0.034	1.000
All within Treatment	LH/30 vs. LB/10	-1.32793028981	0.19915831777	1	0.134	1.000
All within Treatment	LH/30 vs. LH + LB/30	-1.32650532458	0.199621123483	1	0.169	1.000
All within Treatment	LH/30 vs. C/92	-2.44616383644	0.0225037967693	1	0.025	1.000
All within Treatment	LH/30 vs. LB/92	-0.994020748399	0.332087770349	1	0.325	1.000
All within Treatment	LH/30 vs. LH + LB/92	-1.24444681277	0.227721861771	1	0.166	1.000
All within Treatment	LH/30 vs. LB/30	-2.01891628534	0.0539189964012	1	0.057	1.000
All within Treatment	LH/30 vs. LH + LB/10	-2.68101348941	0.0125753695314	1	0.019	1.000
All within Treatment	LH/30 vs. LH/92	-1.4477000824	0.159652658452	1	0.167	1.000
All within Treatment	LH/10 vs. LB/10	0.31946410078	0.752687530327	1	0.792	1.000
All within Treatment	LH/10 vs. LH + LB/30	-0.917430330823	0.369848664046	1	0.387	1.000
All within Treatment	LH/10 vs. C/92	-1.95718909501	0.062569511841	1	0.053	1.000
All within Treatment	LH/10 vs. LB/92	-0.912783571951	0.372228884097	1	0.382	1.000
All within Treatment	LH/10 vs. LH + LB/92	-0.751478130442	0.461117066864	1	0.490	1.000
All within Treatment	LH/10 vs. LB/30	-0.819132560057	0.420156140485	1	0.422	1.000
All within Treatment	LH/10 vs. LH + LB/10	-1.00677310759	0.323322158761	1	0.349	1.000
All within Treatment	LH/10 vs. LH/92	-1.463250816	0.155384050754	1	0.150	1.000
All within Treatment	LB/10 vs. LH + LB/30	0.662663973254	[ 0.51594212]	1	0.473	1.000
All within Treatment	LB/10 vs. C/92	-1.06767210556	0.299047020888	1	0.304	1.000
All within Treatment	LB/10 vs. LB/92	0.580827415439	[ 0.56855853]	1	0.461	1.000
All within Treatment	LB/10 vs. LH + LB/92	0.484822140152	[ 0.63364997]	1	0.532	1.000
