# Constructed from biom file
#OTU ID	C/0	C/92	LB/10	LB/30	LB/92	LH + LB/10	LH + LB/30	LH + LB/92	LH/10	LH/30	LH/92
No blast hit;Other;Other;Other;Other;Other	6.25699023127e-05	0.0	0.0	0.0	0.0	0.0	7.42794889571e-05	0.0	1.4495799842e-05	0.0	0.0
k__Fungi;p__Ascomycota;c__Archaeorhizomycetes;o__Archaeorhizomycetales;f__Archaeorhizomycetaceae;g__Archaeorhizomyces	3.12849511564e-05	1.44160768089e-05	0.0	0.0	0.0	0.0	2.47598296524e-05	0.00753735325507	0.00670430742692	0.0039731373721	0.00749651420291
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Botryosphaeriales;f__Botryosphaeriaceae;g__Botryosphaeria	5.47486645236e-05	0.00442573558032	0.0	0.00059473137966	0.0	0.0	0.00700703179162	0.0	0.00190619767922	0.0	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Botryosphaeriales;f__Botryosphaeriaceae;g__unidentified	0.0	0.0	0.0	0.0	0.0	0.0	0.00903733782312	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Incertae_sedis;g__Capnobotryella	0.0	0.0032580333588	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Mycosphaerellaceae;g__Cercospora	0.00550615140352	0.0	0.0	0.00129441535573	0.0	0.00205677660058	0.0	0.0101387406617	0.00227584057519	0.0	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Mycosphaerellaceae;g__Cladosporium	0.0151888437864	0.0	0.0	0.00242557111705	0.0	0.0	0.0	0.0	0.00202941197788	0.0	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Mycosphaerellaceae;g__unidentified	2.34637133673e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0011379202876	0.0	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Incertae_sedis;f__Incertae_sedis;g__Cenococcum	0.0	0.0	0.0	0.0	0.0	0.00290579484849	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Incertae_sedis;f__Myxotrichaceae;g__unidentified	0.0	0.0	0.0	0.0	0.0	0.000239160069835	4.95196593047e-05	0.0	0.0	0.0	1.0935833994e-05
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Incertae_sedis;g__Periconia	0.0	0.00321478512838	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Montagnulaceae;g__Paraphaeosphaeria	0.000711732638807	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Phaeosphaeriaceae;g__Ophiosphaerella	4.69274267346e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Phaeosphaeriaceae;g__Stagonospora	0.000132961042415	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Cochliobolus	0.000140782280204	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Epicoccum	0.0188413618339	0.00810183516658	0.0176202490437	0.0142735531118	0.0158030694423	0.00783249228709	0.0438991779737	3.33511205977e-05	0.0056968493379	0.0	0.0020231292889
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Lewia	0.000148603517993	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Venturiaceae;g__unidentified	0.0	0.0	0.0	0.00270544470747	0.00486248290533	0.0	2.47598296524e-05	0.0	0.0	0.00348089026406	0.00406813024578
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__unidentified;g__unidentified	0.00879889251273	0.00213357936771	0.000406934158053	0.0100054808578	0.0220939067011	0.208930237008	0.000123799148262	0.0	0.00252951707243	0.00426321156077	0.000781912130574
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__unidentified;f__unidentified;g__unidentified	0.00361341185856	0.0	0.0	0.0	0.0	0.00407767919068	0.0	0.0	0.0164527328207	0.0	0.00346119145911
k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Herpotrichiellaceae;g__Cladophialophora	0.0	0.0	0.00663302677627	0.000548085781255	0.0	0.000980556286322	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Herpotrichiellaceae;g__Exophiala	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00155105058309	0.0	0.0
k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Herpotrichiellaceae;g__Phialophora	3.91061889455e-05	0.000432482304266	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Herpotrichiellaceae;g__unidentified	0.00017206723136	0.0	0.0	0.00222732732383	0.0	4.78320139669e-05	0.0	0.0	0.0	0.00334024823318	0.00317139185827
k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__unidentified;g__unidentified	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000224684897551	0.0	0.0
k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Trichocomaceae;g__Aspergillus	8.603361568e-05	0.0	0.0	0.00149265914895	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Trichocomaceae;g__Eurotium	0.000391061889455	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00144899800421
k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Trichocomaceae;g__Penicillium	0.0276246118711	0.00250839736474	0.00219744445349	0.0049794176297	0.0115787874183	0.00226006265994	0.0380063385164	0.0	0.00484159714723	0.0142312154988	0.00780271755475
k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Trichocomaceae;g__unidentified	0.000727375114386	0.0	0.0	0.00272876750668	0.0	0.0	0.0	0.0	0.0	0.0	0.00148727342319
k__Fungi;p__Ascomycota;c__Incertae_sedis;o__Incertae_sedis;f__Incertae_sedis;g__Chalara	0.0	0.0	0.0	0.000921250568493	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Incertae_sedis;o__Incertae_sedis;f__Incertae_sedis;g__Phaeocytostroma	0.0151497375975	0.0	0.00415072841214	0.00370832507318	0.0	0.00373089708942	0.0	0.00720384204909	0.000884243790362	0.00356000140642	0.0
k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Erysiphales;f__Erysiphaceae;g__Erysiphe	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Dermateaceae;g__Catinella	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Dermateaceae;g__Mollisia	0.00034413446272	0.0	0.0	0.00550418061176	0.00793192523933	0.00239160069835	0.0	0.0	0.00125388668633	0.0	0.0100008201875
k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Dermateaceae;g__unidentified	0.0	0.0	0.0	0.0	0.0	0.0	0.00297117955828	0.0	0.00377615585884	0.0	0.0
k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Geoglossaceae;g__Microglossum	0.0	0.0	0.0	0.0	0.0	0.00261880276469	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiaceae;g__Heyderia_	0.0	0.000648723456399	0.0	0.0	0.0	0.000669648195537	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiaceae;g__Holwaya	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.03210154355e-05	0.0
k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiaceae;g__Pezizella	0.0	0.0	0.0	0.000956234767297	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiaceae;g__Rhizoscyphus	0.00109497329047	0.00915420877362	0.00170912346382	0.0121978239828	0.0174441574229	0.00294166885897	2.47598296524e-05	0.0145744397012	0.00777699661523	0.0411465841567	0.0285753342264
k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiaceae;g__unidentified	0.000696090163229	0.00807300301296	0.0	0.0273809662636	0.00914754596566	0.0052136895224	9.90393186095e-05	0.0168089647812	0.0118793079705	0.0139675116909	0.00866664844028
k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Incertae_sedis;g__Gloeotinia	0.0	0.0	0.0	0.0	0.0128855796991	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Incertae_sedis;g__Hyalodendriella	0.0	0.0	0.0	9.32911968094e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Vibrisseaceae;g__Acephala	0.0	0.0	0.0	0.0	0.0149825254521	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__unidentified;g__unidentified	0.000500559218502	0.00508887511353	0.0160738992431	0.0289319324105	0.0496884971889	0.0128070217397	2.47598296524e-05	0.0283818036286	0.00355871886121	0.0363120143455	0.00386581731689
k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Incertae_sedis;f__Incertae_sedis;g__Meliniomyces	0.000265922084829	0.0	0.0201839342394	0.0019357923338	0.0	0.0072345921125	0.0	0.0151414087513	0.00229758427496	0.00368306318343	5.46791699702e-06
