Sample	adapter_content	Sequences flagged as poor quality	sequence_duplication_levels	avg_sequence_length	Encoding	kmer_content	per_base_sequence_quality	sequence_length_distribution	Sequence length	File type	basic_statistics	per_sequence_gc_content	Total Sequences	per_base_n_content	per_base_sequence_content	overrepresented_sequences	%GC	total_deduplicated_percentage	Filename	per_tile_sequence_quality	per_sequence_quality_scores
520.extendedFrags	pass	0.0	fail	277.906418776	Sanger / Illumina 1.9	warn	pass	warn	158-406	Conventional base calls	pass	fail	40179.0	pass	fail	fail	48.0	1.68744866721	520.extendedFrags.fastq	fail	pass
521.extendedFrags	pass	0.0	fail	276.21770846	Sanger / Illumina 1.9	warn	pass	warn	180-406	Conventional base calls	pass	fail	57577.0	pass	fail	fail	49.0	1.410285357	521.extendedFrags.fastq	fail	pass
522.extendedFrags	pass	0.0	fail	276.533257167	Sanger / Illumina 1.9	warn	pass	warn	157-405	Conventional base calls	pass	fail	56018.0	pass	fail	fail	48.0	1.59948587954	522.extendedFrags.fastq	fail	pass
525.extendedFrags	pass	0.0	fail	355.440179322	Sanger / Illumina 1.9	warn	pass	warn	184-410	Conventional base calls	pass	fail	24983.0	pass	fail	fail	36.0	1.6531241244	525.extendedFrags.fastq	pass	pass
526.extendedFrags	pass	0.0	fail	337.3784244	Sanger / Illumina 1.9	fail	pass	warn	178-446	Conventional base calls	pass	fail	19967.0	pass	fail	fail	37.0	1.69279310863	526.extendedFrags.fastq	fail	pass
530.extendedFrags	pass	0.0	fail	256.878624707	Sanger / Illumina 1.9	fail	pass	warn	180-406	Conventional base calls	pass	fail	70385.0	pass	fail	fail	42.0	1.1991191305	530.extendedFrags.fastq	pass	pass
531.extendedFrags	pass	0.0	fail	295.210499885	Sanger / Illumina 1.9	warn	pass	warn	183-407	Conventional base calls	pass	fail	69696.0	pass	fail	fail	45.0	1.56393480257	531.extendedFrags.fastq	pass	pass
532.extendedFrags	pass	0.0	fail	294.350843748	Sanger / Illumina 1.9	fail	pass	warn	177-418	Conventional base calls	pass	fail	56652.0	pass	fail	fail	45.0	1.70338205183	532.extendedFrags.fastq	fail	pass
535.extendedFrags	pass	0.0	fail	300.263822526	Sanger / Illumina 1.9	warn	pass	warn	183-406	Conventional base calls	pass	fail	23440.0	pass	fail	fail	45.0	2.25255972696	535.extendedFrags.fastq	fail	pass
536.extendedFrags	pass	0.0	fail	297.728823922	Sanger / Illumina 1.9	fail	pass	warn	55-405	Conventional base calls	pass	fail	35984.0	pass	fail	fail	46.0	1.90362383281	536.extendedFrags.fastq	fail	pass
537.extendedFrags	pass	0.0	fail	297.603298735	Sanger / Illumina 1.9	warn	pass	warn	184-419	Conventional base calls	pass	fail	35165.0	pass	fail	fail	44.0	1.59249253519	537.extendedFrags.fastq	fail	pass
540.extendedFrags	pass	0.0	fail	295.088335925	Sanger / Illumina 1.9	warn	pass	warn	183-407	Conventional base calls	pass	fail	16075.0	pass	fail	fail	44.0	2.59409020218	540.extendedFrags.fastq	pass	pass
541.extendedFrags	pass	0.0	fail	301.475304567	Sanger / Illumina 1.9	fail	pass	warn	221-405	Conventional base calls	pass	fail	16663.0	pass	fail	fail	45.0	2.65258356839	541.extendedFrags.fastq	fail	pass
542.extendedFrags	pass	0.0	fail	307.68753868	Sanger / Illumina 1.9	warn	pass	warn	176-407	Conventional base calls	pass	fail	27469.0	pass	fail	fail	43.0	2.04230223161	542.extendedFrags.fastq	pass	pass
545.extendedFrags	pass	0.0	fail	330.278315747	Sanger / Illumina 1.9	warn	pass	warn	182-410	Conventional base calls	pass	fail	29948.0	pass	fail	fail	37.0	1.44250033391	545.extendedFrags.fastq	fail	pass
546.extendedFrags	pass	0.0	fail	332.848880597	Sanger / Illumina 1.9	fail	pass	warn	181-413	Conventional base calls	pass	fail	10184.0	pass	fail	fail	40.0	2.69049489395	546.extendedFrags.fastq	fail	pass
547.extendedFrags	pass	0.0	fail	318.172011182	Sanger / Illumina 1.9	fail	pass	warn	184-439	Conventional base calls	pass	fail	12162.0	pass	fail	fail	40.0	2.58181220194	547.extendedFrags.fastq	fail	pass
