Sample	FastQC_percent_duplicates	FastQC_percent_gc	FastQC_avg_sequence_length	FastQC_total_sequences	FastQC_percent_fails
LALL-PD-KC2015-520-Control-0d-HMC-ITS_S123_L001_R1_001	98.2476635514	48.0	248.863246233	41944.0	41.6666666667
LALL-PD-KC2015-520-Control-0d-HMC-ITS_S123_L001_R2_001	95.350944116	49.0	248.856141522	41944.0	33.3333333333
LALL-PD-KC2015-521-Control-0d-HMC-ITS_S124_L001_R1_001	98.6013986014	49.0	248.531633851	60489.0	41.6666666667
LALL-PD-KC2015-521-Control-0d-HMC-ITS_S124_L001_R2_001	94.7246606821	50.0	248.689083966	60489.0	41.6666666667
LALL-PD-KC2015-522-Control-0d-HMC-ITS_S125_L001_R1_001	98.3968583183	48.0	248.903743497	58822.0	41.6666666667
LALL-PD-KC2015-522-Control-0d-HMC-ITS_S125_L001_R2_001	94.7145625786	49.0	248.814763184	58822.0	41.6666666667
LALL-PD-KC2015-525-Control-10d-HMC-ITS_S126_L001_R1_001	98.3850389471	40.0	247.637254902	29784.0	41.6666666667
LALL-PD-KC2015-525-Control-10d-HMC-ITS_S126_L001_R2_001	94.7555734623	36.0	248.296266452	29784.0	41.6666666667
LALL-PD-KC2015-526-Control-10d-HMC-ITS_S127_L001_R1_001	98.3533433383	40.0	246.377021844	23988.0	41.6666666667
LALL-PD-KC2015-526-Control-10d-HMC-ITS_S127_L001_R2_001	94.8182424546	36.0	246.81982658	23988.0	41.6666666667
LALL-PD-KC2015-530-LH-10d-HMC-ITS_S129_L001_R1_001	98.6699135938	42.0	232.215533333	80897.0	33.3333333333
LALL-PD-KC2015-530-LH-10d-HMC-ITS_S129_L001_R2_001	95.8107222765	42.0	232.235682411	80897.0	41.6666666667
LALL-PD-KC2015-531-LH-10d-HMC-ITS_S130_L001_R1_001	98.491680349	46.0	248.949077364	81614.0	41.6666666667
LALL-PD-KC2015-531-LH-10d-HMC-ITS_S130_L001_R2_001	94.4016957875	45.0	249.012755165	81614.0	41.6666666667
LALL-PD-KC2015-532-LH-10d-HMC-ITS_S131_L001_R1_001	98.307811194	45.0	248.603021653	63409.0	33.3333333333
LALL-PD-KC2015-532-LH-10d-HMC-ITS_S131_L001_R2_001	94.4408522449	45.0	248.646769386	63409.0	41.6666666667
LALL-PD-KC2015-535-LH-LB-10d-HMC-ITS_S132_L001_R1_001	97.7999919708	45.0	248.349431932	24909.0	33.3333333333
LALL-PD-KC2015-535-LH-LB-10d-HMC-ITS_S132_L001_R2_001	92.7094624433	45.0	248.427154844	24909.0	33.3333333333
LALL-PD-KC2015-536-LH-LB-10d-HMC-ITS_S133_L001_R1_001	98.1316403213	46.0	248.58880539	38590.0	41.6666666667
