Group1	Group2	Group1 mean	Group1 std	Group2 mean	Group2 std	t stat	p-value
S2-3H/56	C-NS/56	95.134457672	34.1537546465	110.913443038	5.95968197508	-0.643639104154	1.0
C/0	S2-NS/56	164.209301876	27.2649961303	118.846262626	12.2191291278	2.14717531076	1.0
S2-3H-LATE/56	S2-NS/56	52.8739221195	11.7672476375	118.846262626	12.2191291278	-6.10238105953	0.39
C/0	S2-3H-LATE/56	164.209301876	27.2649961303	52.8739221195	11.7672476375	6.17766293639	0.465
C-3H-LATE/56	C-NS/56	53.9647826479	6.14719863298	110.913443038	5.95968197508	-10.3859962853	0.18
S2-NS/56	S2-3H/56	118.846262626	12.2191291278	95.134457672	34.1537546465	0.92445754034	1.0
C-3H-LATE/56	S2-3H/56	53.9647826479	6.14719863298	95.134457672	34.1537546465	-1.99490660966	1.0
C-3H-LATE/56	S2-NS/56	53.9647826479	6.14719863298	118.846262626	12.2191291278	-7.76081406887	0.345
S2-3H-LATE/56	S2-3H/56	52.8739221195	11.7672476375	95.134457672	34.1537546465	-1.94337551661	1.0
S2-3H-LATE/56	C-NS/56	52.8739221195	11.7672476375	110.913443038	5.95968197508	-6.61208422855	0.42
S2-NS/56	C-NS/56	118.846262626	12.2191291278	110.913443038	5.95968197508	0.825205862996	1.0
S2-3H-LATE/56	C-3H-LATE/56	52.8739221195	11.7672476375	53.9647826479	6.14719863298	-0.142317299062	1.0
C/0	C-NS/56	164.209301876	27.2649961303	110.913443038	5.95968197508	2.70064946439	1.0
C/0	C-3H-LATE/56	164.209301876	27.2649961303	53.9647826479	6.14719863298	6.61419910404	0.33
C/0	S2-3H/56	164.209301876	27.2649961303	95.134457672	34.1537546465	2.23529199307	1.0
