Group1	Group2	Group1 mean	Group1 std	Group2 mean	Group2 std	t stat	p-value
C-NO	C-EARLY	103.312959055	4.76647288808	43.8074702381	22.7730429232	4.429822315	0.189
C	LB500-NO	257.047319404	26.2151546708	86.9831944444	10.5084908383	10.429504846	0.756
C	C-LATE	257.047319404	26.2151546708	56.9602380952	5.78479636801	12.9093078263	0.462
LB500-EARLY	LB500-NO	50.0539484127	36.6039484127	86.9831944444	10.5084908383	-1.52649112999	1.0
C-LATE	C-NO	56.9602380952	5.78479636801	103.312959055	4.76647288808	-10.7110706553	0.147
C-LATE	LB500-NO	56.9602380952	5.78479636801	86.9831944444	10.5084908383	-4.33506269077	0.357
C-LATE	LB500-EARLY	56.9602380952	5.78479636801	50.0539484127	36.6039484127	0.300688322101	1.0
C-NO	LB500-EARLY	103.312959055	4.76647288808	50.0539484127	36.6039484127	2.33672439475	0.693
C-LATE	C-EARLY	56.9602380952	5.78479636801	43.8074702381	22.7730429232	0.969568735655	1.0
C	LB500-LATE	257.047319404	26.2151546708	79.0022294372	21.0213528139	6.82201535291	1.0
C-NO	LB500-LATE	103.312959055	4.76647288808	79.0022294372	21.0213528139	1.79832507731	1.0
C	C-NO	257.047319404	26.2151546708	103.312959055	4.76647288808	9.993476378	0.483
C	C-EARLY	257.047319404	26.2151546708	43.8074702381	22.7730429232	10.63611693	0.462
C-NO	LB500-NO	103.312959055	4.76647288808	86.9831944444	10.5084908383	2.45117212786	0.735
C-EARLY	LB500-NO	43.8074702381	22.7730429232	86.9831944444	10.5084908383	-2.98168097331	0.714
LB500-EARLY	LB500-LATE	50.0539484127	36.6039484127	79.0022294372	21.0213528139	-0.685803734286	1.0
LB500-LATE	C-EARLY	79.0022294372	21.0213528139	43.8074702381	22.7730429232	1.49437854602	1.0
C-LATE	LB500-LATE	56.9602380952	5.78479636801	79.0022294372	21.0213528139	-1.59569898126	1.0
C	LB500-EARLY	257.047319404	26.2151546708	50.0539484127	36.6039484127	6.48799435621	1.0
LB500-LATE	LB500-NO	79.0022294372	21.0213528139	86.9831944444	10.5084908383	-0.506248306011	1.0
LB500-EARLY	C-EARLY	50.0539484127	36.6039484127	43.8074702381	22.7730429232	0.209217700328	1.0
