Group1	Group2	Group1 mean	Group1 std	Group2 mean	Group2 std	t stat	p-value
C-NO	C-EARLY	69.45	7.17443377557	34.4	20.7327036346	2.76715077588	0.735
C	LB500-NO	221.275	24.0898707967	64.825	11.0797958014	10.2195709854	0.525
C	C-LATE	221.275	24.0898707967	37.8	6.70484899159	12.70870621	0.567
LB500-EARLY	LB500-NO	38.15	30.05	64.825	11.0797958014	-1.28534091262	1.0
C-LATE	C-NO	37.8	6.70484899159	69.45	7.17443377557	-5.58256628069	0.63
C-LATE	LB500-NO	37.8	6.70484899159	64.825	11.0797958014	-3.61441444384	1.0
C-LATE	LB500-EARLY	37.8	6.70484899159	38.15	30.05	-0.0181383142307	1.0
C-NO	LB500-EARLY	69.45	7.17443377557	38.15	30.05	1.61153983769	1.0
C-LATE	C-EARLY	37.8	6.70484899159	34.4	20.7327036346	0.27026150399	1.0
C	LB500-LATE	221.275	24.0898707967	66.35	19.85	6.41633876806	1.0
C-NO	LB500-LATE	69.45	7.17443377557	66.35	19.85	0.227081662884	1.0
C	C-NO	221.275	24.0898707967	69.45	7.17443377557	10.4620318942	0.714
C	C-EARLY	221.275	24.0898707967	34.4	20.7327036346	10.1839268562	0.546
C-NO	LB500-NO	69.45	7.17443377557	64.825	11.0797958014	0.60688365861	1.0
C-EARLY	LB500-NO	34.4	20.7327036346	64.825	11.0797958014	-2.24172880561	1.0
LB500-EARLY	LB500-LATE	38.15	30.05	66.35	19.85	-0.783023749725	1.0
LB500-LATE	C-EARLY	66.35	19.85	34.4	20.7327036346	1.47352073208	1.0
C-LATE	LB500-LATE	37.8	6.70484899159	66.35	19.85	-2.11932755116	1.0
C	LB500-EARLY	221.275	24.0898707967	38.15	30.05	6.58285634133	1.0
LB500-LATE	LB500-NO	66.35	19.85	64.825	11.0797958014	0.0984732409002	1.0
LB500-EARLY	C-EARLY	38.15	30.05	34.4	20.7327036346	0.145857026474	1.0
