# Constructed from biom file
#OTU ID	C	C-EARLY	C-LATE	C-NO	LB500-EARLY	LB500-LATE	LB500-NO
k__Fungi;p__Ascomycota;c__Dothideomycetes	0.08118039587	0.0	0.00195580750276	0.0119844012555	0.0287942873778	0.00609564643085	0.0182530264679
k__Fungi;p__Ascomycota;c__Eurotiomycetes	0.00606429505388	0.084502873979	0.31522500202	0.0269886813988	8.56208366868e-05	0.0217840863568	2.03716813258e-05
k__Fungi;p__Ascomycota;c__Incertae_sedis	6.19955814058e-05	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Leotiomycetes	0.000118355200866	0.257158641009	0.0	0.00191813829619	0.0	0.00315068048202	5.09292033145e-06
k__Fungi;p__Ascomycota;c__Pezizomycetes	1.6907885838e-05	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Saccharomycetes	0.17385815411	0.57115893038	0.0974806775644	0.532814432009	0.301941880576	0.199553924275	0.539997249823
k__Fungi;p__Ascomycota;c__Sordariomycetes	0.283359258758	2.63064437634e-05	0.000797807879783	0.0289147458863	0.00433241433635	0.0967507930837	0.0211254335348
k__Fungi;p__Ascomycota;c__unidentified	0.0913307633347	0.0101805937364	0.00208035978779	0.0617846612346	0.127438053325	0.0776843039811	0.0820724111413
k__Fungi;p__Basidiomycota;c__Agaricomycetes	0.0105674286487	0.00288713220303	0.000218808068295	0.00150597634825	0.0	0.0	0.00386552653157
k__Fungi;p__Basidiomycota;c__Agaricostilbomycetes	0.000417061184003	0.0	0.0	0.000158523826131	0.0	0.0	0.0
k__Fungi;p__Basidiomycota;c__Cystobasidiomycetes	0.00570359348934	0.0	7.06918374492e-05	0.0230414381282	0.0123208383992	0.00295579302953	0.0228111901646
k__Fungi;p__Basidiomycota;c__Microbotryomycetes	0.00136953875287	0.0	1.00988339213e-05	2.37785739197e-05	0.456633046218	0.0	0.00260248228937
k__Fungi;p__Basidiomycota;c__Pucciniomycetes	0.00102010911222	0.0	0.000420784746721	7.92619130655e-06	0.0	0.0	0.0
k__Fungi;p__Basidiomycota;c__Tremellomycetes	0.0229947247396	0.00310416036408	0.00403616729055	0.022676833328	0.0127831909173	0.0141943027901	0.0401220263711
k__Fungi;p__Basidiomycota;c__Ustilaginomycetes	0.000569232156544	0.00015126205164	4.3761613659e-05	0.00104625725247	0.000205490008048	0.0005630081961	0.000947283181649
k__Fungi;p__Basidiomycota;c__Wallemiomycetes	1.1271923892e-05	0.0	0.0	0.000626169113218	0.0	0.0	0.0
k__Fungi;p__Basidiomycota;c__unidentified	0.0324687767708	0.00687913504413	0.000528505641882	0.0200611901969	0.00266280802096	0.00335639501521	0.0257090618331
k__Fungi;p__Glomeromycota;c__Glomeromycetes	0.00105956084585	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__unidentified;c__unidentified	0.287828576581	0.0639509647888	0.577131527213	0.266446846961	0.0528023699848	0.573911066359	0.24246884406
