Group1	Group2	Group1 mean	Group1 std	Group2 mean	Group2 std	t stat	p-value
LB/30+120h	LB-AS/90+140h	83.7577357827	6.06826267637	60.1	0.0	-2.75672730263	1.0
C-AS/90	LB/30	63.2382380952	24.5842575376	36.9	0.0	-0.874750084257	1.0
LB/30+120h	LB/30	83.7577357827	6.06826267637	36.9	0.0	-5.46011675666	1.0
LB+LP/30+120h	LB/30	95.7249200799	0.0	36.9	0.0	None	None
LB-AS/90+50h	C/30+120h	20.8583333333	0.0	105.823611111	0.0	None	None
C/30	C/30+120h	84.2179761905	0.0	105.823611111	0.0	None	None
LB-AS/90+50h	C-AS/90	20.8583333333	0.0	63.2382380952	24.5842575376	-1.40752867095	1.0
C/0	LB/30+120h	127.819809294	16.0713325652	83.7577357827	6.06826267637	3.81461065358	1.0
C/90+50h	LB/30	73.7453333333	12.1395341042	36.9	0.0	-2.47819137304	1.0
C/90+50h	C-AS/90	73.7453333333	12.1395341042	63.2382380952	24.5842575376	0.766434046389	1.0
C-AS/90+50h	C/30+120h	64.2440793651	10.7796512717	105.823611111	0.0	3.14941037068	1.0
C/30	C/90	84.2179761905	0.0	64.1692261905	0.18494047619	62.5885227933	1.0
LB-AS/90+50h	C/90	20.8583333333	0.0	64.1692261905	0.18494047619	-135.208669108	1.0
C/90+140h	LB/90+140h	57.419375	17.2999591499	82.8666666667	0.0	1.13938924337	1.0
LB+LP/90	LB/30+120h	15.3533333333	0.0	83.7577357827	6.06826267637	-7.97085087028	1.0
LB+LP/30+120h	C/30	95.7249200799	0.0	84.2179761905	0.0	None	None
C/90+140h	LB+LP/90	57.419375	17.2999591499	15.3533333333	0.0	-1.88348512738	1.0
C/0	C/90+50h	127.819809294	16.0713325652	73.7453333333	12.1395341042	5.06931625734	1.0
LB/30	LB-AS/90+140h	36.9	0.0	60.1	0.0	None	None
LB/90+140h	LB/30	82.8666666667	0.0	36.9	0.0	None	None
C/90+140h	LB/30+120h	57.419375	17.2999591499	83.7577357827	6.06826267637	-2.13242423724	1.0
C/0	LB-AS/90+140h	127.819809294	16.0713325652	60.1	0.0	-3.26391968485	1.0
C-AS/90+140h	C/0	48.5212380952	13.2920504207	127.819809294	16.0713325652	-7.14411989912	1.0
C/30	LB-AS/90+140h	84.2179761905	0.0	60.1	0.0	None	None
C/0	LB/90+140h	127.819809294	16.0713325652	82.8666666667	0.0	-2.16662522602	1.0
C-AS/90+140h	LB/30+120h	48.5212380952	13.2920504207	83.7577357827	6.06826267637	-3.74891347294	0.736
LB+LP/30+120h	LB-AS/90+140h	95.7249200799	0.0	60.1	0.0	None	None
C-AS/90+140h	C-AS/90	48.5212380952	13.2920504207	63.2382380952	24.5842575376	-1.05318795877	1.0
C-AS/90+50h	LB-AS/90+140h	64.2440793651	10.7796512717	60.1	0.0	-0.313890175797	1.0
LB/90+140h	C/30+120h	82.8666666667	0.0	105.823611111	0.0	None	None
C-AS/90+140h	C/30+120h	48.5212380952	13.2920504207	105.823611111	0.0	3.51993787007	1.0
C/30+120h	LB/30	105.823611111	0.0	36.9	0.0	None	None
LB+LP/30+120h	LB+LP/90	95.7249200799	0.0	15.3533333333	0.0	None	None
LB-AS/90+50h	LB/30	20.8583333333	0.0	36.9	0.0	None	None
C-AS/90+50h	LB+LP/30+120h	64.2440793651	10.7796512717	95.7249200799	0.0	2.38449261119	1.0
C/90+140h	C/30+120h	57.419375	17.2999591499	105.823611111	0.0	2.16727448568	1.0
C/0	C-AS/90+50h	127.819809294	16.0713325652	64.2440793651	10.7796512717	6.2411045241	0.552
C-AS/90+140h	LB/90+140h	48.5212380952	13.2920504207	82.8666666667	0.0	2.10975162684	1.0
LB+LP/90	LB/30	15.3533333333	0.0	36.9	0.0	None	None
C/30+120h	C/90+50h	105.823611111	0.0	73.7453333333	12.1395341042	2.15756254753	1.0
C-AS/90+50h	C/90+140h	64.2440793651	10.7796512717	57.419375	17.2999591499	0.638324244996	1.0
C-AS/90+140h	C/30	48.5212380952	13.2920504207	84.2179761905	0.0	2.19275910658	1.0
C/30	LB/30	84.2179761905	0.0	36.9	0.0	None	None
C/0	LB/30	127.819809294	16.0713325652	36.9	0.0	-4.38209968974	1.0
C/30+120h	LB+LP/90	105.823611111	0.0	15.3533333333	0.0	None	None
C-AS/90+140h	LB+LP/90	48.5212380952	13.2920504207	15.3533333333	0.0	-2.037419358	1.0
LB/90+140h	LB+LP/90	82.8666666667	0.0	15.3533333333	0.0	None	None
LB-AS/90+50h	LB+LP/90	20.8583333333	0.0	15.3533333333	0.0	None	None
C/90+50h	LB-AS/90+140h	73.7453333333	12.1395341042	60.1	0.0	-0.917775584848	1.0
C-AS/90+50h	C/90	64.2440793651	10.7796512717	64.1692261905	0.18494047619	0.00829909866334	1.0
C/30+120h	LB/30+120h	105.823611111	0.0	83.7577357827	6.06826267637	2.57123511451	1.0
LB+LP/90	C/90+50h	15.3533333333	0.0	73.7453333333	12.1395341042	-3.92740511656	1.0
LB/90+140h	C/90+50h	82.8666666667	0.0	73.7453333333	12.1395341042	0.613494506151	1.0
C/0	C/30+120h	127.819809294	16.0713325652	105.823611111	0.0	-1.06015987035	1.0
LB-AS/90+50h	LB/90+140h	20.8583333333	0.0	82.8666666667	0.0	None	None
C-AS/90+50h	C-AS/90	64.2440793651	10.7796512717	63.2382380952	24.5842575376	0.0749404601738	1.0
C-AS/90+140h	LB+LP/30+120h	48.5212380952	13.2920504207	95.7249200799	0.0	2.89960116972	1.0
C/90+140h	LB/30	57.419375	17.2999591499	36.9	0.0	-0.91874433877	1.0
C/90+140h	C-AS/90	57.419375	17.2999591499	63.2382380952	24.5842575376	-0.353322968841	1.0
C/30+120h	C-AS/90	105.823611111	0.0	63.2382380952	24.5842575376	1.41435271787	1.0
C-AS/90+50h	LB-AS/90+50h	64.2440793651	10.7796512717	20.8583333333	0.0	-3.28622071375	1.0
C-AS/90+140h	LB/30	48.5212380952	13.2920504207	36.9	0.0	-0.713862863186	1.0
C-AS/90+50h	LB/30+120h	64.2440793651	10.7796512717	83.7577357827	6.06826267637	-2.48900866685	1.0
C-AS/90+140h	C/90+140h	48.5212380952	13.2920504207	57.419375	17.2999591499	-0.769401524667	1.0
C/30+120h	C/90	105.823611111	0.0	64.1692261905	0.18494047619	130.03735495	1.0
LB+LP/30+120h	C/90+50h	95.7249200799	0.0	73.7453333333	12.1395341042	1.47833164557	1.0
C-AS/90+50h	LB+LP/90	64.2440793651	10.7796512717	15.3533333333	0.0	-3.70319279984	1.0
C-AS/90	LB-AS/90+140h	63.2382380952	24.5842575376	60.1	0.0	-0.104227702259	1.0
LB+LP/30+120h	LB/90+140h	95.7249200799	0.0	82.8666666667	0.0	None	None
C-AS/90+50h	C/30	64.2440793651	10.7796512717	84.2179761905	0.0	1.51290779773	1.0
C/0	C/90	127.819809294	16.0713325652	64.1692261905	0.18494047619	4.57304515565	1.0
C/30	LB/30+120h	84.2179761905	0.0	83.7577357827	6.06826267637	0.0536297010607	1.0
LB-AS/90+50h	LB/30+120h	20.8583333333	0.0	83.7577357827	6.06826267637	-7.32937850198	1.0
C-AS/90+50h	C/90+50h	64.2440793651	10.7796512717	73.7453333333	12.1395341042	-1.17047897847	1.0
C/90+140h	C/30	57.419375	17.2999591499	84.2179761905	0.0	1.19989342418	1.0
LB/30	C/90	36.9	0.0	64.1692261905	0.18494047619	-85.1295260292	1.0
LB+LP/90	LB-AS/90+140h	15.3533333333	0.0	60.1	0.0	None	None
LB+LP/30+120h	C/30+120h	95.7249200799	0.0	105.823611111	0.0	None	None
C/30	LB+LP/90	84.2179761905	0.0	15.3533333333	0.0	None	None
LB+LP/30+120h	LB/30+120h	95.7249200799	0.0	83.7577357827	6.06826267637	1.39448102687	1.0
