# The tests of significance were performed using a two-sided Student's two-sample t-test.
# Alternative hypothesis: Group 1 mean != Group 2 mean
# The nonparametric p-values were calculated using 999 Monte Carlo permutations.
# The nonparametric p-values contain the correct number of significant digits.
# Entries marked with "N/A" could not be calculated because at least one of the groups
# of distances was empty, both groups each contained only a single distance, or
# the test could not be performed (e.g. no variance in groups with the same mean).
Group 1	Group 2	t statistic	Parametric p-value	Parametric p-value (Bonferroni-corrected)	Nonparametric p-value	Nonparametric p-value (Bonferroni-corrected)
All within Treatment	All between Treatment	-10.4429785647	4.74319871518e-24	3.78459825485e-20	0.001	1.000
All within Treatment	C/90 vs. C/90	1.1113347583	[ 0.2712589]	1	0.159	1.000
All within Treatment	LB/30+120h vs. LB/30+120h	0.534488170056	0.59508259982	1	0.602	1.000
All within Treatment	C/0 vs. C/0	0.157502657804	0.875377562785	1	0.871	1.000
All within Treatment	C-AS/90+50h vs. C-AS/90+50h	2.45162339306	0.0169613380293	1	0.018	1.000
All within Treatment	C-AS/90+140h vs. C-AS/90+140h	-1.26665971612	0.209867492003	1	0.192	1.000
All within Treatment	C/90+140h vs. C/90+140h	-2.43729080762	0.0177793739263	1	0.017	1.000
All within Treatment	C/90+50h vs. C/90+50h	3.17729730436	0.00228917030491	1	0.008	1.000
All within Treatment	C-AS/90 vs. C-AS/90	-2.17590881197	0.0332607938556	1	0.045	1.000
All within Treatment	LB-AS/90+50h vs. C/90	-3.57102719054	0.000739018155167	1	0.005	1.000
All within Treatment	LB-AS/90+50h vs. LB/30	2.75677647891	[ 0.00790494]	1	0.030	1.000
All within Treatment	LB-AS/90+50h vs. LB/90+140h	2.76063177817	[ 0.00782365]	1	0.019	1.000
All within Treatment	LB-AS/90+50h vs. LB+LP/90	2.76063177817	[ 0.00782365]	1	0.016	1.000
All within Treatment	LB-AS/90+50h vs. LB/30+120h	-4.78394378733	1.25541670313e-05	0.100169698742	0.001	1.000
All within Treatment	LB-AS/90+50h vs. C/30	2.65673146333	[ 0.01030611]	1	0.038	1.000
All within Treatment	LB-AS/90+50h vs. C/0	-5.46673325511	1.01240062063e-06	0.008077944552	0.001	1.000
All within Treatment	LB-AS/90+50h vs. C/30+120h	2.76063177817	[ 0.00782365]	1	0.025	1.000
All within Treatment	LB-AS/90+50h vs. C-AS/90+50h	-5.43299119894	1.10328963614e-06	0.00880314800673	0.001	1.000
