# Constructed from biom file
#OTU ID	C-AS/90	C-AS/90+50h	C-AS/90+140h	C/0	C/30	C/30+120h	C/90	C/90+50h	C/90+140h	LB+LP/30+120h	LB+LP/90	LB-AS/90+50h	LB-AS/90+140h	LB/30	LB/30+120h	LB/90+140h
No blast hit;Other;Other;Other	0.0	0.0	0.0	4.05018995391e-05	0.000142809539677	3.15616715061e-05	0.0	0.0	0.0	3.00842358604e-05	0.0	0.0	0.0	3.07144173475e-05	0.0	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Botryosphaeriales	4.74003289583e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales	0.0	0.0	0.0	0.00252731853124	0.0	0.0	0.00115791575165	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.46944067169e-05
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales	0.0	0.0	0.0	0.0385092060818	0.00366544485172	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0148043491615	0.0001953125	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__unidentified	0.0	0.0	1.31261157198e-05	0.0	4.76031798924e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.11458333333e-05	0.0
k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales	0.0	3.47429714969e-06	0.000459414050194	0.0464718795312	0.0	0.826663300088	0.0	0.0	7.91580912068e-05	0.816395908544	0.0196176642458	0.000334700025103	0.0	0.0484059217397	0.7725	0.0
k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Incertae_sedis	0.0	3.47429714969e-05	0.00136511603486	0.0	0.0	0.0	0.0	3.52622986082e-06	1.249864598e-05	0.0	4.17397111612e-05	0.0	0.0	3.07144173475e-05	0.0	0.0
k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Onygenales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0005859375	0.0
k__Fungi;p__Ascomycota;c__Incertae_sedis;o__Incertae_sedis	0.0	0.0	0.0	0.00129606078525	0.0	3.15616715061e-05	0.0	0.0	0.0	0.000782190132371	0.0	0.0	0.0	0.0	0.00247395833333	0.0
k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales	0.00116604809237	0.0	0.0	0.000178208357972	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.30208333333e-05	0.0
k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales	0.449767501386	0.174079658685	0.921260807169	0.0898008116581	0.127052887133	0.00135715187476	0.286324615692	0.029997637426	0.28300267471	0.00123345367028	4.17397111612e-05	0.998465958218	0.94456331453	0.00482216352356	0.00970052083333	0.035238918385
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Diaporthales	0.0	0.0	0.0	0.000234911017327	0.0	0.0	0.0	0.0	0.0	3.00842358604e-05	0.0	0.0	0.0	0.0	9.11458333333e-05	0.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales	0.000450303125104	0.0	0.0	0.158394828717	0.00290379397344	0.005176114127	0.0	3.52622986082e-06	0.0	0.000150421179302	0.000166958844645	0.0	0.0	0.00230358130106	0.00274739583333	0.0
